CPANAME,fips
"southeastern san diego,southeastern",060730025021
"southeastern san diego,southeastern",060730033011
"southeastern san diego,southeastern",060730033012
"southeastern san diego,southeastern",060730033031
"southeastern san diego,southeastern",060730033032
"southeastern san diego,southeastern",060730033041
"southeastern san diego,southeastern",060730033051
"southeastern san diego,southeastern",060730033052
"southeastern san diego,southeastern",060730033053
"southeastern san diego,southeastern",060730034031
"southeastern san diego,southeastern",060730034032
"southeastern san diego,southeastern",060730034033
"southeastern san diego,southeastern",060730034042
"southeastern san diego,southeastern",060730035011
"southeastern san diego,southeastern",060730035012
"southeastern san diego,southeastern",060730035013
"southeastern san diego,southeastern",060730035021
"southeastern san diego,southeastern",060730035022
"southeastern san diego,southeastern",060730035023
"southeastern san diego,southeastern",060730036011
"southeastern san diego,southeastern",060730036021
"southeastern san diego,southeastern",060730036022
"southeastern san diego,southeastern",060730036031
"southeastern san diego,southeastern",060730036032
"southeastern san diego,southeastern",060730036033
"southeastern san diego,southeastern",060730038001
"southeastern san diego,southeastern",060730039011
"southeastern san diego,southeastern",060730039012
"southeastern san diego,southeastern",060730039013
"southeastern san diego,southeastern",060730039021
"southeastern san diego,southeastern",060730039022
"southeastern san diego,southeastern",060730039023
"southeastern san diego,southeastern",060730039024
"southeastern san diego,southeastern",060730040001
"southeastern san diego,southeastern",060730040002
"southeastern san diego,southeastern",060730040003
"southeastern san diego,southeastern",060730040004
"southeastern san diego,southeastern",060730046002
"southeastern san diego,southeastern",060730047001
"southeastern san diego,southeastern",060730047002
"southeastern san diego,southeastern",060730048001
"southeastern san diego,southeastern",060730048002
"southeastern san diego,southeastern",060730048003
"southeastern san diego,southeastern",060730049001
"southeastern san diego,southeastern",060730049002
"southeastern san diego,southeastern",060730049003
"southeastern san diego,southeastern",060730050001
"southeastern san diego,southeastern",060730034043
"southeastern san diego,southeastern",060730036012
"southeastern san diego,southeastern",060730041013
"southeastern san diego,southeastern",060730041021
"southeastern san diego,southeastern",060730118013
"southeastern san diego,southeastern",060730118023
"southeastern san diego,southeastern",060730119023
"southeastern san diego,southeastern",060730118024
"southeastern san diego,southeastern",060730219002
military facilities,060730036032
military facilities,060730038001
military facilities,060730039023
military facilities,060730050001
military facilities,060730036012
military facilities,060730219002
otay mesa-nestor,060730100011
otay mesa-nestor,060730100012
otay mesa-nestor,060730100031
otay mesa-nestor,060730100032
otay mesa-nestor,060730100033
otay mesa-nestor,060730100034
otay mesa-nestor,060730100041
otay mesa-nestor,060730100042
otay mesa-nestor,060730100053
otay mesa-nestor,060730100054
otay mesa-nestor,060730100091
otay mesa-nestor,060730100101
otay mesa-nestor,060730100102
otay mesa-nestor,060730100103
otay mesa-nestor,060730100111
otay mesa-nestor,060730100112
otay mesa-nestor,060730101031
otay mesa-nestor,060730101032
otay mesa-nestor,060730101033
otay mesa-nestor,060730101041
otay mesa-nestor,060730101042
otay mesa-nestor,060730101061
otay mesa-nestor,060730101062
otay mesa-nestor,060730101063
otay mesa-nestor,060730101071
otay mesa-nestor,060730101072
otay mesa-nestor,060730101073
otay mesa-nestor,060730101074
otay mesa-nestor,060730101091
otay mesa-nestor,060730101092
otay mesa-nestor,060730101101
otay mesa-nestor,060730101102
otay mesa-nestor,060730101103
otay mesa-nestor,060730101104
otay mesa-nestor,060730101105
otay mesa-nestor,060730101111
otay mesa-nestor,060730101112
otay mesa-nestor,060730101121
otay mesa-nestor,060730101122
otay mesa-nestor,060730104011
otay mesa-nestor,060730104021
otay mesa-nestor,060730104023
otay mesa-nestor,060730105021
otay mesa-nestor,060730105022
otay mesa-nestor,060730105024
otay mesa-nestor,060730106012
otay mesa-nestor,060730131031
otay mesa-nestor,060730132051
otay mesa-nestor,060730132061
otay mesa-nestor,060730133081
otay mesa-nestor,060730133082
otay mesa-nestor,060730100191
otay mesa-nestor,060730100192
otay mesa-nestor,060730101123
otay mesa-nestor,060730102011
otay mesa-nestor,060730133173
otay mesa,060730100012
otay mesa,060730100031
otay mesa,060730100041
otay mesa,060730100051
otay mesa,060730100151
otay mesa,060730100152
otay mesa,060730100161
otay mesa,060730100171
otay mesa,060730100172
otay mesa,060730100181
otay mesa,060730100182
otay mesa,060730100183
otay mesa,060730100191
otay mesa,060730100192
san ysidro,060730100041
san ysidro,060730100042
san ysidro,060730100051
san ysidro,060730100052
san ysidro,060730100053
san ysidro,060730100054
san ysidro,060730100091
san ysidro,060730100092
san ysidro,060730100093
san ysidro,060730100094
san ysidro,060730100121
san ysidro,060730100122
san ysidro,060730100123
san ysidro,060730100131
san ysidro,060730100132
san ysidro,060730100151
san ysidro,060730101063
san ysidro,060730101091
san ysidro,060730101092
san ysidro,060730101111
san ysidro,060730101112
san ysidro,060730100133
san ysidro,060730100134
san ysidro,060730100152
tijuana river valley,060730100091
tijuana river valley,060730100093
tijuana river valley,060730100094
tijuana river valley,060730101041
tijuana river valley,060730101091
tijuana river valley,060730101092
tijuana river valley,060730101105
tijuana river valley,060730102011
mission valley,060730001001
mission valley,060730002011
mission valley,060730004002
mission valley,060730005001
mission valley,060730005002
mission valley,060730006002
mission valley,060730010001
mission valley,060730011001
mission valley,060730019001
mission valley,060730019002
mission valley,060730020012
mission valley,060730004004
mission valley,060730065002
mission valley,060730087022
mission valley,060730088003
mission valley,060730089013
mission valley,060730089021
mission valley,060730089022
mission valley,060730091071
mission valley,060730091072
mission valley,060730093053
mission valley,060730093061
mission valley,060730091073
mission valley,060730091081
mission valley,060730092031
mission valley,060730092032
mission valley,060730092042
mission valley,060730093054
mission valley,060730093055
mission valley,060730093064
mission valley,060730095092
mission valley,060730096031
mission valley,060730096032
mission valley,060730096033
mission valley,060730096034
mission valley,060730093071
mission valley,060730093072
mission valley,060730093073
mission valley,060730093074
mission valley,060730093081
mission valley,060730093082
mission valley,060730093083
mission valley,060730095093
old town san diego,060730001002
old town san diego,060730065001
old town san diego,060730065002
old town san diego,060730065003
old town san diego,060730089021
midway-pacific highway,060730061001
midway-pacific highway,060730061002
midway-pacific highway,060730062001
midway-pacific highway,060730063001
midway-pacific highway,060730065001
midway-pacific highway,060730065002
midway-pacific highway,060730065003
midway-pacific highway,060730066001
midway-pacific highway,060730068011
midway-pacific highway,060730068021
midway-pacific highway,060730068022
midway-pacific highway,060730069001
midway-pacific highway,060730089021
midway-pacific highway,060730058011
midway-pacific highway,060730058012
midway-pacific highway,060730058021
midway-pacific highway,060730066002
midway-pacific highway,060730076011
midway-pacific highway,060730214013
mid-city:city heights,060730016001
mid-city:city heights,060730016002
mid-city:city heights,060730016003
mid-city:city heights,060730017001
mid-city:city heights,060730017002
mid-city:city heights,060730017003
mid-city:city heights,060730021002
mid-city:city heights,060730021003
mid-city:city heights,060730021004
mid-city:city heights,060730021005
mid-city:city heights,060730022011
mid-city:city heights,060730022012
mid-city:city heights,060730022021
mid-city:city heights,060730022022
mid-city:city heights,060730022023
mid-city:city heights,060730023011
mid-city:city heights,060730023012
mid-city:city heights,060730023013
