:START_ID,:END_ID,:TYPE,restriction,label
obo.BFO_0000001,owl.Thing,is_a,,
obo.BFO_0000002,obo.BFO_0000001,is_a,,
BLANK_0,obo.BFO_0000002,is_a,,
BLANK_0,obo.BFO_0000002,obo.BFO_0000050,ONLY,part of;part of;part_of;part of
obo.BFO_0000003,obo.BFO_0000001,is_a,,
obo.BFO_0000004,obo.BFO_0000002,is_a,,
BLANK_1,obo.BFO_0000004,is_a,,
BLANK_1,obo.BFO_0000004,obo.BFO_0000050,ONLY,part of;part of;part_of;part of
obo.BFO_0000020,obo.BFO_0000002,is_a,,
obo.BFO_0000031,obo.BFO_0000002,is_a,,
obo.BFO_0000006,obo.BFO_0000141,is_a,,
obo.BFO_0000141,obo.BFO_0000004,is_a,,
obo.BFO_0000029,obo.BFO_0000141,is_a,,
obo.BFO_0000008,obo.BFO_0000003,is_a,,
obo.BFO_0000011,obo.BFO_0000003,is_a,,
obo.BFO_0000015,obo.BFO_0000003,is_a,,
obo.BFO_0000035,obo.BFO_0000003,is_a,,
obo.BFO_0000009,obo.BFO_0000006,is_a,,
obo.BFO_0000028,obo.BFO_0000006,is_a,,
obo.BFO_0000016,obo.BFO_0000017,is_a,,
obo.BFO_0000017,obo.BFO_0000020,is_a,,
obo.BFO_0000023,obo.BFO_0000017,is_a,,
obo.BFO_0000019,obo.BFO_0000020,is_a,,
obo.BFO_0000018,obo.BFO_0000006,is_a,,
obo.BFO_0000024,obo.BFO_0000040,is_a,,
obo.BFO_0000040,obo.BFO_0000004,is_a,,
obo.BFO_0000026,obo.BFO_0000006,is_a,,
obo.BFO_0000027,obo.BFO_0000040,is_a,,
obo.BFO_0000034,obo.BFO_0000016,is_a,,
obo.BFO_0000038,obo.BFO_0000008,is_a,,
obo.BFO_0000148,obo.BFO_0000008,is_a,,
obo.BFO_0000144,obo.BFO_0000015,is_a,,
obo.BFO_0000182,obo.BFO_0000015,is_a,,
obo.BFO_0000145,obo.BFO_0000019,is_a,,
obo.CHEBI_50906,owl.Thing,is_a,,
obo.ENVO_00000428,obo.ENVO_01001110,is_a,,
obo.ENVO_01000254,obo.RO_0002577,is_a,,
obo.RO_0002577,obo.BFO_0000040,is_a,,
obo.PATO_0001241,obo.PATO_0000001,is_a,,
obo.IAO_0000032,obo.IAO_0000109,is_a,,
obo.IAO_0000416,obo.IAO_0000032,is_a,,
obo.IAO_0000104,obo.IAO_0000033,is_a,,
obo.IAO_0000100,obo.IAO_0000027,is_a,,
obo.IAO_0000033,obo.IAO_0000030,is_a,,
obo.IAO_0000027,obo.IAO_0000030,is_a,,
obo.GO_0008150,obo.BFO_0000015,is_a,,
obo.IAO_0000005,obo.IAO_0000033,is_a,,
obo.IAO_0000007,obo.IAO_0000033,is_a,,
obo.IAO_0000030,obo.BFO_0000031,is_a,,
obo.IAO_0000028,obo.IAO_0000030,is_a,,
obo.IAO_0000109,obo.IAO_0000027,is_a,,
obo.IAO_0000078,obo.IAO_0000102,is_a,,
obo.IAO_0000102,obo.IAO_0000027,is_a,,
obo.IAO_0000300,obo.IAO_0000030,is_a,,
obo.IAO_0000408,obo.IAO_0000032,is_a,,
obo.IAO_0000414,obo.IAO_0000032,is_a,,
obo.IAO_0000577,obo.IAO_0000028,is_a,,
DUL.Event,owl.Thing,is_a,,
obo.PATO_0000001,obo.BFO_0000020,is_a,,
obo.PATO_0000051,obo.PATO_0001241,is_a,,
obo.PATO_0000141,obo.PATO_0000051,is_a,,
obo.PATO_0000122,obo.PATO_0001708,is_a,,
obo.PATO_0000125,obo.PATO_0001018,is_a,,
obo.PATO_0001018,obo.PATO_0001241,is_a,,
obo.UO_0000001,obo.UO_0000000,is_a,,
obo.UO_0000002,obo.UO_0000000,is_a,,
obo.UO_0000003,obo.UO_0000000,is_a,,
obo.APOLLO_SV_00000032,obo.IAO_0000109,is_a,,
obo.APOLLO_SV_00000522,obo.IAO_0000310,is_a,,
BLANK_2,obo.APOLLO_SV_00000522,is_a,,
BLANK_2,obo.IAO_0000096,obo.BFO_0000051,SOME,has part;has part;has_part;has part
BLANK_3,obo.APOLLO_SV_00000522,is_a,,
BLANK_3,AND_0,obo.BFO_0000051,SOME,has part;has part;has_part;has part
obo.IAO_0000027,AND_0,member_of,SOME,
BLANK_4,AND_0,member_of,SOME,
BLANK_4,obo.IAO_0000096,obo.IAO_0000136,SOME,is about;is about
obo.BFO_0000030,obo.BFO_0000040,is_a,,
obo.BFO_0000140,obo.BFO_0000141,is_a,,
obo.BFO_0000142,obo.BFO_0000140,is_a,,
obo.BFO_0000146,obo.BFO_0000140,is_a,,
obo.BFO_0000147,obo.BFO_0000140,is_a,,
obo.CARO_0000000,obo.CARO_0030000,is_a,,
obo.CARO_0000003,obo.CARO_0000006,is_a,,
obo.CARO_0000006,obo.BFO_0000040,is_a,,
obo.CARO_0000006,obo.CARO_0000000,is_a,,
obo.CARO_0000007,obo.BFO_0000141,is_a,,
obo.CARO_0000011,obo.CARO_0010000,is_a,,
obo.CARO_0000011,obo.RO_0002577,is_a,,
obo.CARO_0001000,obo.CARO_0000003,is_a,,
obo.CARO_0001001,obo.CARO_0001000,is_a,,
obo.CARO_0001010,obo.BFO_0000040,is_a,,
obo.CARO_0010000,obo.CARO_0000003,is_a,,
BLANK_5,obo.CARO_0010000,is_a,,
BLANK_5,obo.CARO_0010000,obo.RO_0002207,ONLY,directly develops from;directly develops from
obo.CARO_0030000,obo.BFO_0000004,is_a,,
obo.CL_0000000,obo.CARO_0000003,is_a,,
BLANK_6,obo.CL_0000000,is_a,,
BLANK_6,obo.CL_0000000,obo.RO_0002207,ONLY,directly develops from;directly develops from
obo.CL_0000540,obo.CL_0000000,is_a,,
obo.GO_0003674,obo.BFO_0000015,is_a,,
obo.GO_0003824,obo.GO_0003674,is_a,,
obo.GO_0004842,owl.Thing,is_a,,
obo.GO_0016020,obo.CARO_0000003,is_a,,
obo.GO_0016301,owl.Thing,is_a,,
obo.GO_0016740,obo.GO_0003824,is_a,,
obo.GO_0016772,obo.GO_0016740,is_a,,
obo.GO_0016874,obo.GO_0003824,is_a,,
obo.GO_0016879,obo.GO_0016874,is_a,,
